name,birthplace,comment
Jenn W.,"San Jose, CA","For such a highly reviewed and rated place, I had way higher hopes than the 4 stars I am giving this place.  I would actually give it 3.5 if I could but decided to round up since service was prompt and nice.  ,I got the Marufuku bites and the Hakata Tonkotsu DX.  The best thing about the bowl of ramen was the chashu pork slices.  They were flavorful pieces of pork that I wanted more of.  The rest of the components of the ramen including the noodles were only ok.  Also, I ordered the ramen in spicy since I was scared of ultra spicy but I could have totally done ultra spicy since I did not think spicy was that spicy.  I won't be rushing back here since I think there are way better ramen options elsewhere."
Vanessa C.,"Rohnert Park, CA","WOW! This has been the best ramen I have ever had in my life. While there is a pretty long wait, there's a lot to do that the wait is not even that bad. We got seated pretty quickly after we received a text that we were off the waitlist. The staff was super nice. We ordered two bowls of tonkotsu and some gyozas (7 pieces). Our food came out super quick!! The broth of the ramen was super rich and my tummy felt so happy after our meal. Definitely recommend coming here if you have the chance"
Joh E.,"Milpitas, CA","Hakata Tonkotsu  DX and Takoyaki ,plus Dx RamenDx RamenHakata DxHakata TonkotsuTakoyakiservice is superb.,They don't use MSG in their food ,unlike other ramen spots that i've been too, ,its always makes me drowsy after eating."
Idy C.,"Vallejo, CA","Way overdue for this ramen place in Japan town San Francisco. Went there Las time and they were completely full and we didn't get to even wait. Finally returned back this time and was able to join waitlist with Yelp at the store. (They don't take reservations and you cannot join waitlist in advance.) wait time was about 45 mins so we were just checking out places in the plaza. ,Ramen! They were delicious. The bowl looked small but the portion was huge! I love the pork soup base and they were very tasty. Egg was cooked on point. Definitely will go back next time.,Parking maybe a little headache on the weekend since everyone is coming out after reopening. Just be patient and there were plenty parking in the structure!"
Isabelle D.,"Las Vegas, NV","Seriously the best ramen in Japantown- probably the best ramen in SF. I hate to say it, but it even made me forget about my favorite ramen back in Vegas too. ,Got there during lunch hour so there was a 30 minute wait, which really wasn't bad at all. The veggie ramen was the best I've had- no skimming out on the flavors or toppings at all. I stole some scoops of my brother's Hakata Tonkotsu too and the broth is unbelievable. You can also adjust your spice level, choose extra toppings, and order extra noodles. The menu also has rice bowls, salads, and small side orders like gyoza. The chicken karaage is a must if you're considering sides- so crispy without over-breading the chicken. And it's SO filling- had to get my ramen to go and had the urge to eat it as soon as we left. ,The staff is really good about their Bay Area hospitality and the dining area is gorgeous. It's located in the Japantown plaza, along with a bunch of other ramen and udon restaurants, even a Benihana, but trust me- this is the one you want to go to"
Rayana F.,"San Pablo, CA","Great prices and great food. The braised pork belly is very tasteful and soft. First time here and I'm very impressed with the services. Throughout ,eating they clean off your table which is very nice. ,I ended up getting the Braid pork bowl(Kakuni Bowl) and the pork belly buns (Marufuku Bites '2 for 8' . The buns were really soft and creamy from the mayo. And the stamps were a cute gesture. The bowl was a perfect size at the time I went. I was only looking for snack sized meals, this is good if you don't have a huge appetite. The braised pork bowl came with raw veggies with I wasn't a fan of but it does balance out the pork well. That was just preference thing."
Hannah W.,"Philadelphia, PA","The restaurant was not taking any walk-ins and all orders needed to be placed online (it was PACKED). No big deal because the weather was beautiful and there were plenty of places to sit outside in the promenade area. ,Bao buns and takoyaki were outstanding! Tonkotsu had nice flavor!"
Nina Z.,"San Diego, CA","The waiting line for this place perfectly explains how good it is! We went on a weekend and they said that the wait would be around an hour to an hour and a half, but fortunately it ended up being around 45 minutes. The servers were very polite and the food came pretty quickly.,We ordered their Takoyaki, Kakuni Bowl, and Hakata Tonkotsu, and it was honestly the perfect amount for two people. And can you believe that the Kakuni Bowl was only $5?! It was such a thick piece of meat that was absolutely delicious! So if the amount of people lined up to eat here doesn't convince you to go, maybe the $5 Kakuni Bowl will :)"
Alisha W.,"San Francisco, CA","Best Ramen in San Francisco & Northern California!!,Period! Always consistent, never a bad batch! So so good!  the only ramen I'll eat!"
Sophia N.,"New Haven, CT","Cute Japantown staple. Ramen is pretty good and very reasonably priced. I came at 2:30 on a Tuesday and still had a 30 minute wait. Of course, there's lots to do in the two malls. ,I ordered the veggie ramen and ika karage (fried squid). The noodles have a spinach base which gives them a fun green color. ,As a caveat, I will say that if I just had a 30 minute wait for this restaurant sitting by the host stand, I don't think the ramen be worth the wait. It's warm and filling, but I didn't think it was particularly special (I can only speak to the veggie ramen),If you have a long wait, I would recommend stopping by the conveyor belt sushi place as a quick appetizer."
Vanessa H.,"Palmdale, CA","So delicious!! It was our second time here, and our experience was just as amazing as the first! Hands down, the best ramen we've ever had. Just know that this place is always busy, so be prepared to wait about an hour. I recommend joining the waitlist through yelp and then looking around the little shops in Japan town while waiting. They send you a text when your table is ready. Also, the servers are so attentive and kind! :)"
Krissy M.,"San Francisco, CA",So good! Had the vegetable ramen with tofu chashu and was shocked at how delicious it was!
Charlotte C.,"San Francisco, CA","Amazingly rich and flavorful ramen! Came here with family and most of us ordered the hakata tonkotsu DX. First sip of the broth immediately convinced me. It was super rich, flavorful, yet not greasy at all. The egg (always one of my favorite parts of ramen) was perfectly cooked with that semi runny yolk. The corn, red ginger, and seaweed were all amazing complements. There's also a thick slice of braised pork belly and 2 thinner pieces, all were so so soft and melts in your mouth. ,We also order chicken karaage and squid karaage. Unsurprisingly they were juicy and tasty appetizers that were well liked by everyone.,They currently don't take reservations so you need to put your name on the waitlist. Twice I was told that the wait was 70-100 minutes, but our table was usually ready in 20-30 minutes, which isn't too bad as there are a lot of cute stores to walk around in the mall"
Elena W.,"Millbrae, CA","I'm probably going to be in the minority here by saying that I think the ramen at Marufuku is just okay. To me, it's not as spectacular as everyone else makes it out to be.,The broth is super rich, which holds true to their long preparation period, but to me it was too salty. Also, I like a bit of a thicker noodle and the ramen noodles here were on the thin side. All of the other ingredients in the ramen were great though: perfectly soft boiled ramen egg and savory cha shu. ,So though I wasn't the biggest fan of their ramen, I did really like the karaage and takoyaki appetizers here! I would totally come here just for the appetizers and not for the ramen lol. The karaage was lightly breaded and the chicken was juicy. The takoyaki was super hot (which is how takoyaki should be enjoyed, if a takoyaki ball doesn't burn my mouth then it's automatically not good) and tasted super delicious as well. ,In terms of the experience, my friends and I had to wait quite a while before we got seated. It was a Saturday night after all. They were so busy that they actually stopped letting people join the wait list at 7PM (they close at 9PM, that's how behind they were on their waiting list omg). I felt pretty safe dining here during COVID because the wait staff did temperature checks, they were wearing masks, they wiped down the table in front of us, and we were seated 6 feet apart from other tables. All of the wait staff were friendly and earnestly doing their jobs.,My final verdict is that I wouldn't come here on my own accord, but if my friends wanted to come here I wouldn't be opposed to going with them."
Elizabeth L.,"San Francisco, CA","Finally was able to try this ramen place despite being an SF local, and my only regret was not trying it sooner! Usually I am deterred from their long lines and small interior, but the food is definitely worth it. They have a kiosk where you can join their yelp waitlist where you can get texted when your table is ready. Went on a Sunday morning around noon and was able to get a table within half an hour.,I ordered the Hakata Tonkotsu DX, which comes with a rather large chunk of meat. The broth was so rich without being overly salty, and the noodles were cooked to the perfect texture. It's honestly a big portion of food, and worth the hefty price tag. Next time I may just get the non-DX version. The food came within a few minutes of us ordering, and the servers were super attentive to refilling water, getting our check, etc."
Jacqueline M.,"Phoenix, AZ","Best Ramen in San Francisco.,On a rainy day in SF, when the cold wraps it's chilly arms around you, wrap your hands around a large steaming bowl of Tonkotsu Ramen at the Marufuku Location in Japan town.  A cost, intimate space tucked into the second story corner of the Japanese Mall.,There is always a wait here...we waited 45 min to slurp this very savory authentic Hakata-style Tonkotsu ramen -- Creamy, umami rich broth made from boiling pork bones for long hours -and Cha-shu made from specially selected pork.,Hands down, the best!"
Daniel D.,"Manhattan, New York, NY","The ramen here is definitely the best in SF but it's nothing mind-blowing. I would not wait more than half an hour for this. I've heard the wait time gets to be a couple hours on busier weekends and you can surely fly to LA, eat, and come back in less time.,The deluxe chicken paitan comes with a grilled piece of chicken leg and it's definitely a 1.5x portion. The hakata deluxe has an extra slice of pork belly and is really amazing too. I think it's worth it to try both at least once."
Yuxuan H.,"Cary, NC","4.5/5,The ramen and the pipirika fried chicken are both great, but the drinks are okay and pricy. We all found the kimino drinks almost tasteless (not recommend),Staff were friendly and helped ordered 1 and a half orders of the pipirika chicken for us three to share. The walk-in wait-list is about 40min so definitely grab a spot before heading to other shops nearby!"
Lillian B.,"San Francisco, CA","Overall a good ramen spot, but nothing out of the ordinary that you couldn't get at other ramen places in the city. SF has so many! ,I prefer a thicker noodle and they mostly use thin ones here. Their tonkotsu is good but I've had better. I did love their spicy chicken tan tan men which in my opinion was more flavorful! And they use thick noodles! It might be a seasonal menu item though. ,It's almost always booked up once the restaurant opens, but they have a Yelp waitlist that you can add yourself to in advance. On a Tuesday evening at 6pm, we probably had to wait about 10 minutes which is not bad at all! The only downside is more people started coming later so the servers kind of rushed us in terms of clearing our plates and getting us our check (and even checked in on us while we were finishing up drinks)."
Heidi L.,"Clifton, VA","I just want to put it out there that this is by far the best ramen I ever had.,This ramen shop is located inside of the mall of Japanese town in San Francisco. This was one of the popular spot for good ramen place within San Francisco downtown. Many foodies on social media had mention this place so I had to give it a try. ,My fiancé and I tried the most popular entrees and chicken karaage. Despite the fact that we were so full from eating around the trip, we thoroughly enjoyed the food. My fiancé especially is not a fan of starchy carby entrees but even he agreed that the food was too good. ,I don't need to say too much. The ramen is almost like a comfort food of Japan. It definitely helped me warm up in the cold wind of San Francisco weather. If you want to try the full experience, try to aim for weekdays early dinner time. No wait needed. You will be seated right away. Making a reservation is another way to tackle. ,Whoever is in town of Japan at San Francisco should definitely get a good bowl of ramen! Two thumbs up :)))))"
Gina G.,"Oakland, CA","I think of this ramen often...it's so bomb and worth the wait! That broth is a god send and I can't wait to go bacK,Oh and whatever they do to the octopus balls is insane. A must try"
Xiaoying S.,"Stanford, CA","Went there for the first time a few weeks ago. We heard it's a really popular restaurant so we joined the waitlist on Yelp which helped a lot. We were late for our table but there was luckily a table available when we arrived. I ordered the basic Hakata ramen with added tofu, and tried the gyoza and takoyaki as well. Maybe my expectation was too high, I didn't feel the ramen was that impressive (I also prefer wilder ramen noodles). The ramen bowl was surely interesting. I would not recommend the gyoza, and takoyaki was just so-so."
Britney H.,"Washington, DC","Could rave about this place forever. The best veggie ramen I've had!! I love the noodles here. So chewy and delicious. And the broth was chefs kiss. I'm also really happy with the anount of vegetables they put in the vegetable ramen! Lots of arugula, bell peppers, and onion.  My favorite part is that they put a soft boiled egg in automatically--no more adding eggs at an extra charge!!,Friends agree that the takoyaki was solid 8/10. Great flavor and nice snack with the ramen. ,Would definitely return here and vegetarians please go try the ramen here!"
Michelle C.,"San Francisco, CA",I wasn't sure what to expect before trying Marufuku but it seemed to be the most popular and highest rated ramen spot in town. Personally I prefer a richer broth and thicker noodles but it's a really good Hakata style ramen! It's very tasty and deceptively filling for how big the bowl looks. The service was very friendly and attentive. The takoyaki was also delicious. The wait ended up being quite a bit shorter than it said when we first checked in (about 30 min rather than 60-80 min).
Allison G.,"SoMa, San Francisco, CA","I LOVE Marufuku so much. They have the best tonkatsu! Great service, super quick and friendly!"
Donna R.,"Berkeley, CA","Delicious! I recommend the Hakata Tonkotsu DX, medium spicy! It's got everything you would want in Ramen. And I really enjoyed the ambiance inside of the restaurant."
Daisy T.,"San Francisco, CA","As an SF native, I don't know why it took me so long to try Marufuku. I am embarrassed to admit this!!! ,First of all, the service was efficient, helpful, and friendly. Our server recommended a green matcha tea with our ramen, and it was so perfectly refreshing against the rich ramen broth. I really wanted to try the chicken dx ramen but they sold out for the day. Still, the Hakata tonkatsu Dx was amazing and a straight winner for me. The broth was flavorful and rich, the meat was juicy and very tender. The ramen was overall very flavorful and is definitely a new favorite for me in SF.,We also ordered chicken karaage and marafuku bites for appetizers. Both were also delicious snacks to prep for the main ramen course. The karaage was skin crisp and very juicy to the bite. The marafuku bites had great flavor, although I thought the small meat pieces were a little tougher to chew through. All in all, still a really delicious meal and I plan to be back!"
Ivy K.,"Salinas, CA",Delicious i go all the time beware sat sun and friday super busy i waited 2+ hours once
Rachel Z.,"Los Angeles, CA","It is the best ramen in big bay area!,The soup and very rich and thin port belly is melting in mouth so smoothly."
Michael C.,"San Jose, CA","Been here several times...never been disappointed...,Very popular Ramen spot in SF Japan Town...I'd say it's the most popular spot...I've never seen a 2 hour wait at any surrounding Ramen spots. You cn jump on the wait list through Yelp, even that closes at times! NUTS!!! Pre-pandemic of course...these days its a bit easier to get a seat inside. ,""Marufuku proudly serves the authentic Hakata-style Tonkotsu ramen -- featuring milky and umami rich broth made from boiling pork bones for long hours, an ultra-thin artisanal noodles that match perfectly with the broth, and Cha-shu made from specially selected pork.,Rich white chicken paitan ramen with chicken Cha-shu is also featured on the menu along with variety of mini-sized rice bowls, izakaya-style appetizers, and premium beer & sake."",Stolen from the website:,The foodie stuff:,~ Pirikara Chicken Bites - 5/5,Only on the SEASONAL SPECIALS menu! I do hope they keep this appetizer around or add it to the regular menu. The Chicken was perfectly done and complimented the sauces in the bun. Brilliant little appetizer!,~ Spicy Tan Tan Men - 4.5/5,My biggest issue with this dish was the lack of ground Chicken. I felt like they skimped on the portions of Ground Chicken. Other than that...a perfect bowl or Ramen! Squeezing the Lemon in the soup changes the flavor as well...delish! ,~ Hakata Tonkotsu (Spicy) - 4.5/5,Definitely spicy! Especially if you ask for it on the spicy side...makes you choke when your try to inhale the soup...yet sooo good!,~ Hakata Tonkotsu DX - 4.5/5,Flavor Galore...Basically a perfect bowl of Ramen. INHO, more enjoyable when it's not as spicy.,~ Chicken Paitan DX - 4/5,They only make 15 orders of this dish a day! So try to come a bit earlier to get this one! Chicken ramen with rich white ""paitan"" broth...to me its not as flavorful as the ""rich pork broth"" still very tasty. The DX also comes with a ""grilled chicken leg on a sizzling plate, sweet corn, and nori seaweed."" - 5/5,The best value! They give you a fair bit more than the chicken leg. Grilled to perfection, the chicken is a brilliant add on. Bring an appetite for this one!"
Jon J.,"Los Angeles, CA","Best Ramen experience in my life!!,Best professional and attentive wait staff!!,Small, straight forward menu is a sign that this place makes the best ramen in the city.,Located in Japan town.,Will definitely go back"
Garima G.,"Santa Clara, CA","Tried the mild vegetarian Ramen and my husband had the spicy tantan men. Both were delicious. Both me and My husband added more chilli oil to the ramen.,I think I can take medium easily next time. ,I liked the noodles in the spicy tantan men more."
Xiaopan X.,"Ontario, CA","I want to let you know that this place made me love ramen and noodles. I do not really like ramen like that... it'll was never something I craved. Now, I crave Marafuku often and cry that we don't live in SF. (I'm in Socal, so the ramen is plentiful here, but I haven't found anything like Marufuku.),We were on vacation and it was a cold and foggy day (I gotta set the scene y'all) and ramen sounded good. We headed there also the try the Chicken Paitan since they only serve so many in a day.,I got the HAKATA TONKOTSU DX and my wife got the regular HAKATA TONKOTSU and we were both blown away. The meat was so tender and flavorful and the broth was *chef's kiss* - creamy but not too fatty. My egg was perfectly done... juicy and oozing out. YUM! I got my ramen medium level of spicy and it was perfect - I like some heat but I'm not the type of person to like super spicy or numbingly spicy things. Chicken Paitan was really good - the flavor is sweet and salty and juicy and tender - perfect for sharing between two or even three people (if it's more of a side dish haha... don't just get the chicken bc then it won't be enough to fill you up if you're sharing)! ,If you're traveling, definitely give this place a try especially if it's cold outside."
Cindy L.,"Atlanta, GA","My first meal ever in SF was here and it did not disappoint my mouth nor tummy! Their ramen has flat noodles, but the broth did not wow me. The charsiu pork was so soft and melty in my mouth. Fresh beansprouts and gingers to complement the savory ramen. Egg was a perfect soft boil. My favorite thing about this spot is their chicken karage... so crispy and a punch of flavor!"
Naina S.,"San Francisco, CA","I finally was able to try Marufuku on-site with their indoor seating. I recommend allocating 1.5 hours prior to sitting, after you check-in and get on the Yelp waitlist at the entrance. You can easily walk around Japantown and kill time exploring the shops. ,Their new Chicken TanTan ramen had a lot of good flavor and was really good. The Tonkatsu was really good as per usual too. ,The ramen was more fresh at the restaurant vs. their takeout, which is to be expected.,I tried Marufuku to-go for the first time during this pandemic. I had my expectations low because I was afraid it was over-hyped by friends and Yelp ratings. However, even to-go, their ramen blew me away. The broth was so flavorful and also felt unique to them. I got the Chicken Paitan and my roommate for the Tonkatsu, both of them really good! Next time, I think I'm going to get the Tonkatsu for myself. I'm also really picky with ramen noodles but their's were really good, I loved them. The soft-boiled egg was also cooked to perfection."
Beth K.,"Pacifica, CA","Ordered takeout for dinner on a Wednesday evening, and was pleased with everything. Marufuku has their takeout game on point--noodles and toppings packaged separately, soup was piping hot and wrapped securely, all condiments, utensils, and napkins were included, separate line for take-out orders from the restaurant dine-in line. ,Great ramen--flavorful soup with richness and depth, fresh noodles, flavorful toppings, combined together for a super satisfying meal.,Also ordered a karaage bowl for my kid who hasn't quite grown to appreciate a hot bowl of noodles yet (in time, kiddo, in time). Also tried the Marufuku bites, which are pork chasu nestled in steamed pillowy baos. ,Service was friendly and efficient. Really couldn't ask for more! Well done, Marufuku Ramen team!"
Kristi C.,"Vallejo, CA","Yum, double yum. Delicious ramen, chicken and more. Service was incredible. I had the spicy ground chicken ramen and it was amazing.  We also had the chicken ramen which comes with a whole chicken quarter. We had the chicken buns as well. On a side note, we parked in the garage, took the elevator to the 3rd floor. When u exit, it's immediately next to the restaurant."
Jocelyn L.,"San Francisco, CA",You have to try to Marufuku bites. 10000 percent incredible. It was rich in flavor and exceeded all my expectations. Wow
Kristina P.,"Hercules, CA","Hands down, the best ramen I've had in the Bay Area. And I think I definitely ruined the expectation from other ramen spots because I will always compare it to Marufuku.,The portions are extremely generous and the staff are very kind and attentive. I got the Hakata Tonkotsu DX and the broth was immaculate. This bowl of ramen was so delicious--I still dream about it and wish I lived closer to Japantown. We also ordered the takoyaki and it was superb. Overall, the food was delish, the ambiance was warm and cozy and though the waits are long, it's worth it. Will be back and highly recommend!"
